Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Order ID No.
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.91,152156
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.58,152156
CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.87,138688
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,957.58,5,0.45,-383.03,108966
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,22.37,2,0.2,2.52,108966
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.17,115812
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.97,115812
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,907.15,6,0.2,90.72,115812
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,18.5,3,0.2,5.78,115812
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47,115812
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,1706.18,9,0.2,85.31,115812
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,911.42,4,0.2,68.36,115812
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365,15.55,3,0.2,5.44,114412
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656,407.98,3,0.2,132.59,161389
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.86,118983
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,2.54,3,0.8,-3.82,118983
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.32,105893
