Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Order ID No.
CA-2015-142755,9/4/2015,9/8/2015,Standard Class,CS-12355,TEC-AC-10002049,619.95,5,0,111.59,142755
CA-2015-142755,9/4/2015,9/8/2015,Standard Class,CS-12355,OFF-PA-10000141,4.36,2,0,2.05,142755
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040,TEC-PH-10001061,699.93,7,0,181.98,147627
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040,OFF-AR-10002375,22.96,7,0,6.66,147627
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040,FUR-FU-10003194,38.6,4,0,11.58,147627
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040,OFF-EN-10001539,23.34,3,0,10.97,147627
US-2014-147627,1/20/2014,1/26/2014,Standard Class,HL-15040,FUR-CH-10002331,1067.94,3,0,224.27,147627
CA-2015-105970,3/2/2015,3/7/2015,Standard Class,PA-19060,OFF-AR-10003156,10.16,1,0,2.64,105970
CA-2015-105970,3/2/2015,3/7/2015,Standard Class,PA-19060,OFF-EN-10001532,101.88,6,0,50.94,105970
CA-2016-112102,4/12/2016,4/16/2016,Standard Class,BD-11605,FUR-TA-10004086,343.92,4,0,75.66,112102
CA-2016-112102,4/12/2016,4/16/2016,Standard Class,BD-11605,OFF-PA-10000100,40.99,1,0,20.09,112102
CA-2016-112102,4/12/2016,4/16/2016,Standard Class,BD-11605,OFF-EN-10002500,63.9,5,0,28.76,112102
US-2016-134908,6/5/2016,6/9/2016,Standard Class,JS-15940,OFF-ST-10003479,124.61,4,0.2,-23.36,134908
US-2016-148803,12/11/2016,12/11/2016,Same Day,LR-16915,OFF-ST-10001476,85.22,3,0.2,7.46,148803
CA-2016-152170,11/12/2016,11/15/2016,Second Class,FH-14275,OFF-EN-10002831,287.52,8,0,129.38,152170
CA-2016-152170,11/12/2016,11/15/2016,Second Class,FH-14275,OFF-AP-10002350,37.68,2,0,10.55,152170
CA-2016-152170,11/12/2016,11/15/2016,Second Class,FH-14275,OFF-PA-10001763,19.98,2,0,8.99,152170
CA-2016-152170,11/12/2016,11/15/2016,Second Class,FH-14275,OFF-AR-10003394,20.58,7,0,5.56,152170
CA-2016-152170,11/12/2016,11/15/2016,Second Class,FH-14275,OFF-BI-10002072,17.38,2,0,8.69,152170
CA-2014-146969,9/29/2014,10/3/2014,Standard Class,AP-10915,TEC-MA-10004241,686.32,2,0.2,223.05,146969
CA-2014-146969,9/29/2014,10/3/2014,Standard Class,AP-10915,OFF-ST-10004340,62.18,1,0,16.79,146969
CA-2015-112452,4/4/2015,4/4/2015,Same Day,NC-18340,OFF-AP-10003849,644.08,2,0.1,107.35,112452
CA-2015-112452,4/4/2015,4/4/2015,Same Day,NC-18340,OFF-BI-10003350,12.76,2,0,5.87,112452
CA-2015-112452,4/4/2015,4/4/2015,Same Day,NC-18340,TEC-PH-10000307,10.95,1,0,0.44,112452
CA-2015-112452,4/4/2015,4/4/2015,Same Day,NC-18340,TEC-CO-10004202,599.98,2,0,209.99,112452
