OrderID,ProductName,loss
CA-2016-108196,"Cubify CubeX 3D Printer Double Head Print",-6599.98
US-2017-168116,"Cubify CubeX 3D Printer Triple Head Print",-3839.99
CA-2014-169019,"GBC DocuBind P400 Electric Binding System",-3701.89
CA-2017-134845,"Lexmark MX611dhe Monochrome Laser Printer",-3399.98
US-2017-122714,"Ibico EPK-21 Electric Binding System",-2929.48
CA-2015-147830,"Cubify CubeX 3D Printer Double Head Print",-2639.99
CA-2017-131254,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",-2287.78
CA-2015-116638,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",-1862.31
CA-2016-130946,"GBC DocuBind P400 Electric Binding System",-1850.95
CA-2014-145317,"Cisco TelePresence System EX90 Videoconferencing Unit",-1811.08
US-2015-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-1665.05
CA-2014-165309,"GBC DocuBind TL300 Electric Binding System",-1480.03
CA-2014-139892,"Lexmark MX611dhe Monochrome Laser Printer",-1359.99
US-2017-120390,"GBC DocuBind P400 Electric Binding System",-1306.55
CA-2017-128363,"GBC DocuBind TL300 Electric Binding System",-1237.85
CA-2015-140025,"Hoover Upright Vacuum With Dirt Cup",-1181.28
CA-2017-152093,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",-1143.89
US-2017-148551,"GBC Ibimaster 500 Manual ProClick Binding System",-1141.47
CA-2015-155600,"GBC Ibimaster 500 Manual ProClick Binding System",-1065.37
CA-2017-158379,"Martin Yale Chadless Opener Electric Letter Opener",-1049.34
CA-2015-105571,"GBC DocuBind TL300 Electric Binding System",-1031.54
US-2017-162558,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",-1002.78
CA-2017-159100,"Balt Solid Wood Round Tables",-968.88
CA-2015-146262,"Cisco 9971 IP Video Phone Charcoal",-950.40
CA-2014-127299,"HP Designjet T520 Inkjet Large Format Printer - 24" Color"",-944.99
US-2016-157490,"Zebra GK420t Direct Thermal/Thermal Transfer Printer",-938.28
